src_addr,dst_addr,comment
168.144.1.42,66.113.239.8,OCX:CWS:283996
168.144.2.8,66.113.239.9,OCX:CWS:162537
168.144.2.12,66.113.239.10,OCX:CWS:54
168.144.2.14,66.113.239.11,OCX:CWS:153
168.144.2.29,66.113.239.12,OCX:CWS:101
168.144.2.36,66.113.239.13,OCX:CWS:59
168.144.2.76,66.113.239.14,OCX:CWS:153403
168.144.2.80,66.113.239.15,OCX:CWS:139074
168.144.2.112,66.113.239.16,OCX:CWS:170026
168.144.2.118,66.113.239.17,OCX:CWS:77
168.144.2.121,66.113.239.18,OCX:CWS:80
168.144.2.141,66.113.239.19,OCX:CWS:138390
168.144.2.142,66.113.239.20,OCX:CWS:138394
168.144.2.152,66.113.239.21,OCX:CWS:82
168.144.2.153,66.113.239.22,OCX:CWS:166153
168.144.2.160,66.113.239.23,OCX:CWS:138382
168.144.2.163,66.113.239.24,OCX:CWS:46355
168.144.2.174,66.113.239.25,OCX:CWS:41
168.144.2.187,66.113.239.26,OCX:CWS:29
168.144.3.54,66.113.239.27,OCX:CWS:139516
168.144.3.69,66.113.239.28,OCX:CWS:88882
168.144.3.130,66.113.239.29,OCX:CWS:46479
168.144.3.185,66.113.239.30,OCX:CWS:46496
168.144.4.2,66.113.239.31,OCX:CWS:49814
168.144.4.192,66.113.239.32,OCX:CWS:116366
168.144.5.11,66.113.208.8,OCX:VZ:1182610
168.144.5.12,66.113.208.9,OCX:VZ:1158233
168.144.5.13,66.113.208.10,OCX:VZ:1175625
168.144.5.14,66.113.208.11,OCX:VZ:1184168
168.144.5.15,66.113.208.12,OCX:VZ:1169345
168.144.5.18,66.113.208.13,OCX:VZ:1175657
168.144.5.20,66.113.208.14,OCX:VZ:1158371
168.144.5.21,66.113.208.15,OCX:VZ:1184247
168.144.5.23,66.113.208.16,OCX:VZ:1161057
168.144.5.24,66.113.208.17,OCX:VZ:1184209
168.144.5.25,66.113.208.18,OCX:VZ:1183382
168.144.5.26,66.113.208.19,OCX:VZ:1183465
168.144.5.27,66.113.208.20,OCX:VZ:1158378
168.144.5.29,66.113.208.21,OCX:VZ:1164958
168.144.5.30,66.113.208.22,OCX:VZ:1184812
168.144.5.31,66.113.208.23,OCX:VZ:1184009
168.144.5.32,66.113.208.24,OCX:VZ:1179706
168.144.5.33,66.113.208.25,OCX:VZ:1163149
168.144.5.36,66.113.208.26,OCX:VZ:1158446
168.144.5.37,66.113.208.27,OCX:VZ:1157884
168.144.5.41,66.113.208.28,OCX:VZ:1158633
168.144.5.43,66.113.208.29,OCX:VZ:1184053
168.144.5.76,66.113.208.30,OCX:VZ:1178904
168.144.5.80,66.113.208.31,OCX:VZ:1158759
168.144.5.99,66.113.208.32,OCX:VZ:1158943
168.144.5.130,66.113.208.33,OCX:VZ:1159239
168.144.5.141,66.113.208.34,OCX:VZ:1159494
168.144.5.150,66.113.208.35,OCX:VZ:1159734
168.144.5.164,66.113.208.36,OCX:VZ:1160112
168.144.5.175,66.113.208.37,OCX:VZ:1160354
168.144.6.16,66.113.239.33,OCX:CWS:222441
168.144.6.18,66.113.239.34,OCX:CWS:226679
168.144.6.25,66.113.239.35,OCX:CWS:155160
168.144.6.64,66.113.239.36,OCX:CWS:158650
168.144.6.87,66.113.239.37,OCX:CWS:153694
168.144.6.102,66.113.239.38,OCX:CWS:270129
168.144.6.105,66.113.239.39,OCX:CWS:238163
168.144.6.113,66.113.239.40,OCX:CWS:116947
168.144.6.115,66.113.239.41,OCX:CWS:239965
168.144.6.116,66.113.239.42,OCX:CWS:49958
168.144.6.134,66.113.239.43,OCX:CWS:247014
168.144.6.190,66.113.239.44,OCX:CWS:153511
168.144.6.210,66.113.239.45,OCX:CWS:153539
