host,interface,ip
x2web01,eth0,168.144.248.99
x2web01,eth0:0,168.144.248.98
x2web01,eth0:1,168.144.248.100
x2web01,eth0:2,168.144.248.101
x2web01,eth0:3,168.144.248.102
x2web01,eth0:4,168.144.248.103
x2web01,eth0:5,168.144.248.104
x2web01,eth0:6,168.144.248.105
x2web01,eth0:7,168.144.248.106
x2web01,eth0:8,168.144.248.107
x2web01,eth0:9,168.144.248.108
x2web01,eth0:10,168.144.248.109
x2web01,eth0:11,168.144.248.110
x2web01,eth0:12,168.144.248.111
x2web01,eth0:13,168.144.248.112
x2web01,eth0:14,168.144.248.113
x2web01,eth0:15,168.144.248.114
x2web01,eth0:16,168.144.248.115
x2web01,eth0:17,168.144.248.116
x2web01,eth0:18,168.144.248.117
x2web01,eth0:19,168.144.248.118
x2web01,eth0:20,168.144.248.119
x2web01,eth0:21,168.144.248.120
x2web01,eth0:22,168.144.248.121
x2web01,eth0:23,168.144.248.122
x2web01,eth0:24,168.144.248.123
x2web01,eth0:25,168.144.248.124
x2web01,eth0:26,168.144.248.125
x2web01,eth0:27,168.144.248.126
x2web02,eth0,168.144.248.66
x2web02,eth0:0,168.144.248.67
x2web02,eth0:1,168.144.248.68
x2web02,eth0:2,168.144.248.69
x2web02,eth0:3,168.144.248.70
x2web02,eth0:4,168.144.248.71
x2web02,eth0:5,168.144.248.72
x2web02,eth0:6,168.144.248.73
x2web02,eth0:7,168.144.248.74
x2web02,eth0:8,168.144.248.75
x2web02,eth0:9,168.144.248.76
x2web02,eth0.10,168.144.248.77
x2web02,eth0:11,168.144.248.78
x2web02,eth0:12,168.144.248.79
x2web02,eth0:13,168.144.248.80
x2web02,eth0:14,168.144.248.81
x2web02,eth0:15,168.144.248.82
x2web02,eth0:16,168.144.248.83
x2web02,eth0:17,168.144.248.84
x2web02,eth0:18,168.144.248.85
x2web02,eth0:19,168.144.248.86
x2web02,eth0:20,168.144.248.87
x2web02,eth0:21,168.144.248.88
x2web02,eth0:22,168.144.248.89
x2web02,eth0:23,168.144.248.90
x2web02,eth0:24,168.144.248.91
x2web02,eth0:25,168.144.248.92
x2web02,eth0:26,168.144.248.93
x2web02,eth0:27,168.144.248.94
x2web03,eth0,168.144.248.35
x2web03,eth0:0,168.144.248.34
x2web03,eth0:1,168.144.248.36
x2web03,eth0:2,168.144.248.37
x2web03,eth0:3,168.144.248.38
x2web03,eth0:4,168.144.248.39
x2web03,eth0:5,168.144.248.40
x2web03,eth0:6,168.144.248.41
x2web03,eth0:7,168.144.248.42
x2web03,eth0:8,168.144.248.43
x2web03,eth0:9,168.144.248.44
x2web03,eth0:10,168.144.248.45
x2web03,eth0:11,168.144.248.46
x2web03,eth0:12,168.144.248.47
x2web03,eth0:13,168.144.248.48
x2web03,eth0:14,168.144.248.49
x2web03,eth0:15,168.144.248.50
x2web03,eth0:16,168.144.248.51
x2web03,eth0:17,168.144.248.52
x2web03,eth0:18,168.144.248.53
x2web03,eth0:19,168.144.248.54
x2web03,eth0:20,168.144.248.55
x2web03,eth0:21,168.144.248.56
x2web03,eth0:22,168.144.248.57
x2web03,eth0:23,168.144.248.58
x2web03,eth0:24,168.144.248.59
x2web03,eth0:25,168.144.248.60
x2web03,eth0:26,168.144.248.61
x2web03,eth0:27,168.144.248.62
x2web04,eth0,168.144.248.3
x2web04,eth0:0,168.144.248.2
x2web04,eth0:1,168.144.248.4
x2web04,eth0:2,168.144.248.5
x2web04,eth0:3,168.144.248.6
x2web04,eth0:4,168.144.248.7
x2web04,eth0:5,168.144.248.8
x2web04,eth0:6,168.144.248.9
x2web04,eth0:7,168.144.248.10
x2web04,eth0:8,168.144.248.11
x2web04,eth0:9,168.144.248.12
x2web04,eth0:10,168.144.248.13
x2web04,eth0:11,168.144.248.14
x2web04,eth0:12,168.144.248.15
x2web04,eth0:13,168.144.248.16
x2web04,eth0:14,168.144.248.17
x2web04,eth0:15,168.144.248.18
x2web04,eth0:16,168.144.248.19
x2web04,eth0:17,168.144.248.20
x2web04,eth0:18,168.144.248.21
x2web04,eth0:19,168.144.248.22
x2web04,eth0:20,168.144.248.23
